,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
206,9/17/2020,2020,0,s,HOU,TEX,1544.243,1461.799,0.649,0.351,1545.112,1460.93,Framber Valdez,Jordan Lyles,48.585,45.151,-22.201,-27.013,2,1
212,9/17/2020,2020,0,s,SEA,SFG,1475.501,1500.644,0.498,0.502,1473.641,1502.504,Nick Margevicius,Tyler Anderson,43.135,49.384,-21.214,1.784,4,6
213,9/17/2020,2020,0,s,ANA,ARI,1474.1,1489.611,0.512,0.488,1476.638,1487.073,Griffin Canning,Alex Young,50.868,47.208,6.762,-13.455,7,3
216,9/16/2020,2020,0,s,SEA,SFG,1478.891,1497.254,0.508,0.492,1475.501,1500.644,Ljay Newsome,Drew Smyly,47.747,48.902,-0.894,-0.385,3,9
217,9/16/2020,2020,0,s,ANA,ARI,1476.452,1487.259,0.519,0.481,1474.1,1489.611,Dylan Bundy,Caleb Smith,55.272,47.598,26.308,-12.049,6,9
220,9/16/2020,2020,0,s,HOU,TEX,1546.202,1459.84,0.654,0.346,1544.243,1461.799,Lance McCullers Jr.,Kyle Gibson,50.897,46.098,-10.118,-20.882,0,1
232,9/15/2020,2020,0,s,ANA,ARI,1477.933,1485.778,0.523,0.477,1476.452,1487.259,Julio Teheran,Madison Bumgarner,47.478,49.103,-11.646,-6.711,8,9
236,9/15/2020,2020,0,s,HOU,TEX,1544.814,1461.228,0.65,0.35,1546.202,1459.84,Jose Urquidy,Kyle Cody,52.628,48.055,-1.027,-11.892,4,1
248,9/14/2020,2020,0,s,SEA,OAK,1482.391,1555.303,0.43,0.57,1478.891,1558.803,Jimmy Yacabonis,Mike Minor,47.675,53.299,-1.641,14.829,0,9
252,9/14/2020,2020,0,s,SEA,OAK,1480.696,1556.998,0.425,0.575,1482.391,1555.303,Marco Gonzales,Jesus Luzardo,54.461,50.252,29.982,-0.18,6,5
263,9/13/2020,2020,0,s,TEX,OAK,1458.531,1559.696,0.391,0.609,1461.228,1556.998,Lance Lynn,Frankie Montas,60.879,51.95,49.801,7.47,6,3
278,9/12/2020,2020,0,s,TEX,OAK,1461.608,1556.619,0.399,0.601,1458.531,1559.696,Kolby Allard,Chris Bassitt,47.608,51.951,-13.763,7.759,1,10
286,9/12/2020,2020,0,s,TEX,OAK,1458.916,1559.31,0.392,0.608,1461.608,1556.619,Nick Goody,Daulton Jefferies,47.4,47.4,-14.422,-15.017,5,2
295,9/11/2020,2020,0,s,TEX,OAK,1460.757,1557.469,0.397,0.603,1458.916,1559.31,Luis Garcia,Mike Fiers,47.59,49.731,-14.619,-4.183,6,10
311,9/10/2020,2020,0,s,TEX,ANA,1463.371,1473.596,0.52,0.48,1460.757,1476.21,Kyle Gibson,Dylan Bundy,46.817,54.112,-19.118,22.134,2,6
312,9/10/2020,2020,0,s,OAK,HOU,1555.849,1546.969,0.547,0.453,1557.469,1545.35,Sean Manaea,Jose Urquidy,51.139,52.46,3.795,-3.159,3,1
316,9/9/2020,2020,0,s,OAK,HOU,1554.609,1548.21,0.544,0.456,1555.849,1546.969,Jesus Luzardo,Luis Garcia,48.876,47.4,-6.128,-26.278,3,2
319,9/9/2020,2020,0,s,TEX,ANA,1460.961,1476.005,0.513,0.487,1463.371,1473.596,Kyle Cody,Julio Teheran,47.747,47.648,-14.723,-8.492,7,3
328,9/8/2020,2020,0,s,OAK,HOU,1556.17,1546.648,0.548,0.452,1554.609,1548.21,Mike Minor,Chase De Jong,53.582,44.782,15.885,-39.433,4,5
331,9/8/2020,2020,0,s,TEX,ANA,1457.804,1479.163,0.504,0.496,1460.961,1476.005,Lance Lynn,Julio Teheran,60.31,47.819,45.313,-7.93,7,1
339,9/8/2020,2020,0,s,HOU,OAK,1548.609,1554.21,0.526,0.474,1546.648,1556.17,Zack Greinke,Frankie Montas,57.981,51.855,22.347,7.936,2,4
345,9/7/2020,2020,0,s,OAK,HOU,1551.191,1551.628,0.534,0.466,1554.21,1548.609,Chris Bassitt,Cristian Javier,50.861,50.883,4.333,-11.166,6,0
350,9/7/2020,2020,0,s,SEA,TEX,1478.599,1460.038,0.561,0.439,1480.833,1457.804,Marco Gonzales,Kolby Allard,53.829,49.546,27.55,-6.892,8,4
357,9/6/2020,2020,0,s,SEA,TEX,1477.379,1461.258,0.557,0.443,1478.599,1460.038,Justin Dunn,Jordan Lyles,49.223,45.234,5.662,-27.513,4,3
358,9/6/2020,2020,0,s,OAK,SDP,1553.497,1507.027,0.6,0.4,1551.191,1509.334,Mike Fiers,Garrett Richards,49.677,49.66,-1.196,-7.877,3,5
359,9/6/2020,2020,0,s,ANA,HOU,1476.027,1554.764,0.422,0.578,1479.163,1551.628,Jaime Barria,Framber Valdez,48.08,50.053,-6.545,-16.288,9,5
370,9/5/2020,2020,0,s,HOU,ANA,1556.703,1474.088,0.649,0.351,1554.764,1476.027,Jose Urquidy,Dillon Peters,52.983,43.408,-2.839,-29.195,6,7
372,9/5/2020,2020,0,s,SEA,TEX,1475.76,1462.877,0.553,0.447,1477.379,1461.258,Justus Sheffield,Kyle Gibson,48.902,46.858,4.315,-20.119,5,3
381,9/5/2020,2020,0,s,ANA,HOU,1472.374,1558.416,0.412,0.588,1474.088,1556.703,Griffin Canning,Brandon Bielak,50.821,43.895,5.438,-46.419,10,9
386,9/5/2020,2020,0,s,OAK,SDP,1551.508,1509.017,0.595,0.405,1553.497,1507.027,Sean Manaea,Chris Paddack,50.573,50.935,3.586,-2.158,8,4
388,9/4/2020,2020,0,s,OAK,SDP,1556.121,1504.403,0.607,0.393,1551.508,1509.017,Jesus Luzardo,Zach Davies,48.921,53.543,-4.248,10.854,0,7
391,9/4/2020,2020,0,s,SEA,TEX,1473.762,1464.875,0.547,0.453,1475.76,1462.877,Yusei Kikuchi,Kyle Cody,44.442,47.4,-15.833,-17.553,6,3
392,9/4/2020,2020,0,s,ANA,HOU,1470.643,1560.148,0.407,0.593,1472.374,1558.416,Dylan Bundy,Lance McCullers Jr.,53.23,52.279,17.766,-8.395,6,5
