,date,season,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_score,away_score,compare_score,home_win,away_win,win_pitch_rgs,lose_pitch_rgs
102800,10/13/1974,1974,LAD,OAK,suttd001,bluev001,56.497,54.614,3,2,1,True,False,56.497,54.614
76275,10/25/1987,1987,MIN,STL,violf001,magrj001,56.497,50.667,4,2,2,True,False,56.497,50.667
84767,10/11/1983,1983,BAL,PHI,mcgrs001,dennj001,52.764,56.464,1,2,-1,False,True,56.464,52.764
96782,10/16/1977,1977,LAD,NYY,suttd001,gulld101,56.454,54.144,10,4,6,True,False,56.454,54.144
67803,10/19/1991,1991,MIN,ATL,morrj001,leibc001,56.434,52.591,5,2,3,True,False,56.434,52.591
23145,10/28/2010,2010,SFG,TEX,Matt Cain,C.J. Wilson,56.432,54.043,9,0,9,True,False,56.432,54.043
175666,10/13/1921,1921,NYY,SFG,hoytw101,nehfa101,58.487,56.43,0,1,-1,False,True,56.43,58.487
35444,10/23/2005,2005,CHW,HOU,Mark Buehrle,Andy Pettitte,56.409,59.622,7,6,1,True,False,56.409,59.622
78400,10/25/1986,1986,NYM,BOS,ojedb001,clemr001,56.399,61.503,6,5,1,True,False,56.399,61.503
96785,10/12/1977,1977,NYY,LAD,huntj101,hootb001,48.244,56.374,1,6,-5,False,True,56.374,48.244
135984,10/2/1953,1953,LAD,NYY,erskc101,rascv101,56.343,57.7,3,2,1,True,False,56.343,57.7
108596,10/11/1971,1971,BAL,PIT,palmj001,johnb103,56.339,50.535,11,3,8,True,False,56.339,50.535
32986,10/22/2006,2006,DET,STL,rogek001,weavj002,56.332,47.579,3,1,2,True,False,56.332,47.579
163280,10/7/1931,1931,OAK,STL,hoytw101,hallb104,46.379,56.318,1,5,-4,False,True,56.318,46.379
139720,10/5/1950,1950,PHI,NYY,rober102,reyna102,58.201,56.31,1,2,-1,False,True,56.31,58.201
169475,10/3/1926,1926,NYY,STL,shocu101,alexg102,53.983,56.291,2,6,-4,False,True,56.291,53.983
63390,10/16/1993,1993,TOR,PHI,guzmj003,schic002,56.291,55.295,8,5,3,True,False,56.291,55.295
178145,10/8/1919,1919,CIN,CHW,salls101,cicoe101,54.028,56.272,1,4,-3,False,True,56.272,54.028
132258,10/5/1956,1956,LAD,NYY,newcd101,larsd102,56.272,53.947,13,8,5,True,False,56.272,53.947
132259,10/3/1956,1956,LAD,NYY,magls101,fordw101,56.253,59.493,6,3,3,True,False,56.253,59.493
164521,10/8/1930,1930,OAK,STL,earng101,hallb104,56.239,56.973,7,1,6,True,False,56.239,56.973
179274,9/6/1918,1918,CHC,BOS,tylel101,bushj102,56.238,54.626,3,1,2,True,False,56.238,54.626
142208,10/8/1948,1948,CLE,ATL,bearg102,bickv101,56.227,51.277,2,0,2,True,False,56.227,51.277
92552,10/17/1979,1979,BAL,PIT,mcgrs001,bibbj001,55.912,56.189,1,4,-3,False,True,56.189,55.912
158346,10/7/1935,1935,DET,CHC,bridt101,frenl101,56.177,56.829,4,3,1,True,False,56.177,56.829
147186,10/7/1944,1944,BAL,STL,jakus101,brech101,48.315,56.16,1,5,-4,False,True,56.16,48.315
67799,10/24/1991,1991,ATL,MIN,glavt001,tapak001,56.146,55.012,14,5,9,True,False,56.146,55.012
65676,10/18/1992,1992,ATL,TOR,smolj001,coned001,56.837,56.121,4,5,-1,False,True,56.121,56.837
110545,10/13/1970,1970,BAL,CIN,mcnad102,clont101,56.091,47.148,9,3,6,True,False,56.091,47.148
100851,10/21/1975,1975,BOS,CIN,tianl101,nolag101,56.091,52.421,7,6,1,True,False,56.091,52.421
100853,10/15/1975,1975,CIN,BOS,normf101,tianl101,51.24,56.09,4,5,-1,False,True,56.09,51.24
138473,10/10/1951,1951,NYY,SFG,rascv101,kosld101,56.045,50.664,4,3,1,True,False,56.045,50.664
20675,10/28/2011,2011,STL,TEX,carpc002,Matt Harrison,56.043,51.746,6,2,4,True,False,56.043,51.746
137232,10/2/1952,1952,LAD,NYY,erskc101,rascv101,52.026,56.031,1,7,-6,False,True,56.031,52.026
