,date,season,playoff,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score,compare_score,compare_pitchers,home_win,away_win,win_pitch_adj,pitcher_difference,lose_pitch_adj
155862,10/6/1937,1937,w,NYY,SFG,gomel102,hubbc101,64.387,57.632,2.83,4.116,8,1,7,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
42834,10/26/2002,2002,w,ANA,SFG,appik001,ortir001,51.289,51.231,11.812,4.116,6,5,1,7.696,True,False,11.812,7.696,4.116
42837,10/22/2002,2002,w,SFG,ANA,hernl003,Ramon Ortiz,50.001,52.183,4.116,1.612,4,10,-6,2.5039999999999996,False,True,1.612,-2.5039999999999996,4.116
42838,10/20/2002,2002,w,ANA,SFG,appik001,ortir001,52.842,52.965,11.812,4.116,11,10,1,7.696,True,False,11.812,7.696,4.116
155860,10/8/1937,1937,w,SFG,NYY,schuh103,pearm101,52.482,55.356,4.116,2.83,1,5,-4,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
155858,10/10/1937,1937,w,SFG,NYY,meltc101,gomel102,55.903,65.006,4.116,2.83,2,4,-2,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
157102,10/6/1936,1936,w,SFG,NYY,fitzf101,gomel102,54.349,53.787,4.116,2.83,5,13,-8,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
157104,10/4/1936,1936,w,NYY,SFG,pearm101,hubbc101,54.788,66.225,2.83,4.116,5,2,3,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
157105,10/3/1936,1936,w,NYY,SFG,hadlb101,fitzf101,46.54,53.224,2.83,4.116,2,1,1,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
157106,10/2/1936,1936,w,SFG,NYY,schuh103,gomel102,51.255,53.411,4.116,2.83,4,18,-14,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
155861,10/7/1937,1937,w,NYY,SFG,ruffr101,meltc101,58.399,55.908,2.83,4.116,8,1,7,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
72039,10/28/1989,1989,w,SFG,OAK,robid001,moorm001,50.885,57.917,4.116,10.951,6,9,-3,-6.835000000000001,False,True,10.951,6.835000000000001,4.116
72040,10/27/1989,1989,w,SFG,OAK,garrs001,stewd001,53.051,55.891,4.116,10.951,7,13,-6,-6.835000000000001,False,True,10.951,6.835000000000001,4.116
72041,10/15/1989,1989,w,OAK,SFG,moorm001,reusr001,57.284,50.34,10.951,4.116,5,1,4,6.835000000000001,True,False,10.951,6.835000000000001,4.116
72042,10/14/1989,1989,w,OAK,SFG,stewd001,garrs001,54.555,53.948,10.951,4.116,5,0,5,6.835000000000001,True,False,10.951,6.835000000000001,4.116
124219,10/16/1962,1962,w,SFG,NYY,sanfj101,terrr101,53.302,57.193,4.116,2.83,0,1,-1,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
185311,10/7/1913,1913,w,SFG,OAK,marqr102,bendc101,58.223,55.141,4.116,10.951,4,6,-2,-6.835000000000001,False,True,10.951,6.835000000000001,4.116
124221,10/10/1962,1962,w,NYY,SFG,terrr101,sanfj101,56.602,52.911,2.83,4.116,5,3,2,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
175669,10/10/1921,1921,w,SFG,NYY,nehfa101,hoytw101,55.342,57.848,4.116,2.83,1,3,-2,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
185309,10/9/1913,1913,w,SFG,OAK,tesrj101,bushj102,55.362,45.991,4.116,10.951,2,8,-6,-6.835000000000001,False,True,10.951,6.835000000000001,4.116
185308,10/10/1913,1913,w,OAK,SFG,bendc101,demaa101,55.194,54.901,10.951,4.116,6,5,1,6.835000000000001,True,False,10.951,6.835000000000001,4.116
185307,10/11/1913,1913,w,SFG,OAK,mathc102,plane101,57.899,51.404,4.116,10.951,1,3,-2,-6.835000000000001,False,True,10.951,6.835000000000001,4.116
180297,10/6/1917,1917,w,CHW,SFG,cicoe101,salls101,59.061,52.742,5.454,4.116,2,1,1,1.338,True,False,5.454,1.338,4.116
180296,10/7/1917,1917,w,CHW,SFG,faber101,schuf102,50.024,58.603,5.454,4.116,7,2,5,1.338,True,False,5.454,1.338,4.116
180293,10/13/1917,1917,w,CHW,SFG,russr102,salls101,51.874,53.007,5.454,4.116,8,5,3,1.338,True,False,5.454,1.338,4.116
180292,10/15/1917,1917,w,SFG,CHW,bentr102,faber101,54.093,50.484,4.116,5.454,2,4,-2,-1.338,False,True,5.454,1.338,4.116
138473,10/10/1951,1951,w,NYY,SFG,rascv101,kosld101,56.045,50.664,2.83,4.116,4,3,1,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
138474,10/9/1951,1951,w,SFG,NYY,jansl101,lopae101,60.457,58.235,4.116,2.83,1,13,-12,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
138475,10/8/1951,1951,w,SFG,NYY,magls101,reyna102,58.046,58.401,4.116,2.83,2,6,-4,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
138477,10/5/1951,1951,w,NYY,SFG,lopae101,jansl101,57.315,60.147,2.83,4.116,3,1,2,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
175673,10/5/1921,1921,w,SFG,NYY,dougp101,maysc101,47.994,54.749,4.116,2.83,0,3,-3,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
175672,10/6/1921,1921,w,NYY,SFG,hoytw101,nehfa101,56.533,54.839,2.83,4.116,3,0,3,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
171946,10/10/1924,1924,w,MIN,SFG,ogdec101,barnv101,52.034,52.939,6.16,4.116,4,3,1,2.0440000000000005,True,False,6.16,2.0440000000000005,4.116
171951,10/5/1924,1924,w,MIN,SFG,zacht101,bentj101,53.185,51.504,6.16,4.116,4,3,1,2.0440000000000005,True,False,6.16,2.0440000000000005,4.116
173188,10/11/1923,1923,w,SFG,NYY,mcquh101,pennh101,51.56,55.489,4.116,2.83,2,4,-2,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
173186,10/13/1923,1923,w,SFG,NYY,scotj101,shawb102,52.216,55.539,4.116,2.83,4,8,-4,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
124223,10/7/1962,1962,w,NYY,SFG,stafb101,pierb101,52.106,52.207,2.83,4.116,3,2,1,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
124225,10/4/1962,1962,w,SFG,NYY,odelb101,fordw101,53.53,56.008,4.116,2.83,2,6,-4,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
173185,10/14/1923,1923,w,NYY,SFG,bushj102,bentj101,53.139,50.075,2.83,4.116,8,1,7,-1.2859999999999996,True,False,2.83,-1.2859999999999996,4.116
173184,10/15/1923,1923,w,SFG,NYY,nehfa101,pennh101,52.748,55.871,4.116,2.83,4,6,-2,1.2859999999999996,False,True,2.83,-1.2859999999999996,4.116
171947,10/9/1924,1924,w,MIN,SFG,zacht101,nehfa101,53.684,54.166,6.16,4.116,2,1,1,2.0440000000000005,True,False,6.16,2.0440000000000005,4.116
171949,10/7/1924,1924,w,SFG,MIN,barnv101,mogrg101,53.734,53.684,4.116,6.16,4,7,-3,-2.0440000000000005,False,True,6.16,2.0440000000000005,4.116
45294,11/3/2001,2001,w,ARI,NYY,johnr005,Andy Pettitte,69.536,54.12,2.22,3.967,15,2,13,-1.7469999999999999,True,False,2.22,-1.7469999999999999,3.967
28065,10/26/2008,2008,w,PHI,TBD,Joe Blanton,sonna001,49.805,51.983,-7.642,3.943,10,2,8,-11.585,True,False,-7.642,-11.585,3.943
3418,10/27/2018,2018,w,LAD,BOS,Rich Hill,Eduardo Rodriguez,54.474,53.638,3.666,0.387,6,9,-3,3.279,False,True,0.387,-3.279,3.666
23143,10/31/2010,2010,w,TEX,SFG,huntt002,Madison Bumgarner,49.982,51.027,3.606,-10.721,0,4,-4,14.327,False,True,-10.721,-14.327,3.606
23144,10/30/2010,2010,w,TEX,SFG,Colby Lewis,Jonathan Sanchez,55.318,54.186,10.923,3.318,4,2,2,7.605,True,False,10.923,7.605,3.318
159581,10/8/1934,1934,w,DET,STL,rowes101,deanp101,59.354,59.125,3.26,7.108,3,4,-1,-3.848,False,True,7.108,3.848,3.26
159580,10/9/1934,1934,w,DET,STL,aukee101,deand102,54.581,64.336,3.26,7.108,0,11,-11,-3.848,False,True,7.108,3.848,3.26
82648,10/10/1984,1984,w,SDP,DET,white001,petrd001,53.46,54.058,12.389,3.26,5,3,2,9.129,True,False,12.389,9.129,3.26
158347,10/6/1935,1935,w,CHC,DET,warnl101,rowes101,60.218,60.882,8.192,3.26,3,1,2,4.932,True,False,8.192,4.932,3.26
159584,10/5/1934,1934,w,STL,DET,deanp101,bridt101,58.381,58.646,7.108,3.26,4,1,3,3.848,True,False,7.108,3.848,3.26
32985,10/24/2006,2006,w,STL,DET,carpc002,roben001,58.223,52.107,7.108,3.26,5,0,5,3.848,True,False,7.108,3.848,3.26
158351,10/2/1935,1935,w,DET,CHC,rowes101,warnl101,60.219,59.158,3.26,8.192,0,3,-3,-4.932,False,True,8.192,4.932,3.26
159586,10/3/1934,1934,w,DET,STL,crowg102,deand102,49.099,64.007,3.26,7.108,3,8,-5,-3.848,False,True,7.108,3.848,3.26
145953,10/3/1945,1945,w,DET,CHC,newhh101,boroh101,64.204,54.995,3.26,8.192,0,9,-9,-4.932,False,True,8.192,4.932,3.26
152154,10/7/1940,1940,w,CIN,DET,waltb102,rowes101,60.028,51.648,6.625,3.26,4,0,4,3.365,True,False,6.625,3.365,3.26
114458,10/6/1968,1968,w,DET,STL,mclad101,gibsb101,58.493,67.392,3.26,7.108,1,10,-9,-3.848,False,True,7.108,3.848,3.26
145951,10/5/1945,1945,w,DET,CHC,overs101,passc101,48.326,59.132,3.26,8.192,0,3,-3,-4.932,False,True,8.192,4.932,3.26
114459,10/5/1968,1968,w,DET,STL,wilse102,washr101,53.068,52.672,3.26,7.108,3,7,-4,-3.848,False,True,7.108,3.848,3.26
114461,10/2/1968,1968,w,STL,DET,gibsb101,mclad101,66.285,59.169,7.108,3.26,4,0,4,3.848,True,False,7.108,3.848,3.26
152153,10/8/1940,1940,w,CIN,DET,derrp101,newsb101,55.898,59.175,6.625,3.26,2,1,1,3.365,True,False,6.625,3.365,3.26
152156,10/5/1940,1940,w,DET,CIN,troud101,derrp101,50.632,55.079,3.26,6.625,2,5,-3,-3.365,False,True,6.625,3.365,3.26
152158,10/3/1940,1940,w,CIN,DET,waltb102,rowes101,59.295,52.984,6.625,3.26,5,3,2,3.365,True,False,6.625,3.365,3.26
145948,10/8/1945,1945,w,CHC,DET,passc101,trucv101,60.431,54.7,8.192,3.26,8,7,1,4.932,True,False,8.192,4.932,3.26
129772,10/5/1958,1958,w,NYY,ATL,fordw101,spahw101,58.047,57.495,2.83,9.185,0,3,-3,-6.355,False,True,9.185,6.355,2.83
173189,10/10/1923,1923,w,NYY,SFG,hoytw101,watsm103,55.676,50.688,2.83,4.116,4,5,-1,-1.2859999999999996,False,True,4.116,1.2859999999999996,2.83
127284,10/10/1960,1960,w,NYY,PIT,ditma101,haddh101,50.972,50.657,2.83,6.884,2,5,-3,-4.054,False,True,6.884,4.054,2.83
173187,10/12/1923,1923,w,NYY,SFG,jones104,nehfa101,53.525,51.462,2.83,4.116,0,1,-1,-1.2859999999999996,False,True,4.116,1.2859999999999996,2.83
174423,10/8/1922,1922,w,SFG,NYY,nehfa101,bushj102,53.718,55.014,4.116,2.83,5,3,2,1.2859999999999996,True,False,4.116,1.2859999999999996,2.83
140963,10/6/1949,1949,w,NYY,LAD,rascv101,roe-p101,52.155,58.179,2.83,11.008,0,1,-1,-8.177999999999999,False,True,11.008,8.177999999999999,2.83
127288,10/5/1960,1960,w,PIT,NYY,law-v101,ditma101,55.125,51.921,6.884,2.83,6,4,2,4.054,True,False,6.884,4.054,2.83
127285,10/9/1960,1960,w,NYY,PIT,terrr101,law-v101,54.351,54.911,2.83,6.884,2,3,-1,-4.054,False,True,6.884,4.054,2.83
